epoch,learning_rate,loss,mae,mape,val_loss,val_mae,val_mape
0,0.0010000000474974513,68.67810821533203,5.963359355926514,19.740497589111328,42.519737243652344,4.642088413238525,14.514286994934082
1,0.0010000000474974513,37.8565559387207,4.659897327423096,15.400494575500488,42.606388092041016,4.587959289550781,14.020661354064941
2,0.0010000000474974513,35.875911712646484,4.561961650848389,15.059258460998535,53.5389518737793,5.09629487991333,14.799656867980957
3,0.0010000000474974513,30.653411865234375,4.217427730560303,13.975259780883789,51.33009338378906,5.013599872589111,14.555376052856445
4,0.0010000000474974513,29.282426834106445,4.111313343048096,13.63619613647461,43.08263397216797,4.62034797668457,13.80955696105957
5,0.0010000000474974513,25.897045135498047,3.809699535369873,12.62548542022705,39.39120864868164,4.458508014678955,13.602506637573242
6,0.0010000000474974513,23.893787384033203,3.7534596920013428,12.44474983215332,45.62895965576172,5.376816272735596,18.325820922851562
7,0.0010000000474974513,22.84609603881836,3.6664745807647705,12.154598236083984,39.430179595947266,4.701006889343262,15.074921607971191
8,0.0010000000474974513,20.97743797302246,3.508322238922119,11.694540023803711,43.85524368286133,5.221049785614014,17.521514892578125
9,0.0010000000474974513,20.03937339782715,3.4020602703094482,11.302775382995605,41.64881134033203,4.496456623077393,13.624152183532715
10,0.0003000000142492354,15.25938892364502,2.9445159435272217,9.788204193115234,37.390933990478516,4.352614879608154,13.5150785446167
11,0.0003000000142492354,12.781181335449219,2.732379198074341,9.158293724060059,38.12859344482422,4.450639724731445,13.911500930786133
12,0.0003000000142492354,12.443258285522461,2.703871726989746,9.12342357635498,36.86745834350586,4.436810493469238,14.13414478302002
13,0.0003000000142492354,11.5170316696167,2.588225841522217,8.707873344421387,40.76435470581055,4.544426441192627,14.10171127319336
14,0.0003000000142492354,10.896943092346191,2.5178756713867188,8.487665176391602,38.433837890625,4.432888507843018,13.7717924118042
