source,person_id,image_path,y0,x0,y1,x1,bmi,is_female,height_m,weight_kg,age,cache_path,split
visual_bmi,vb_2a42h0,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/2a42h0/2a42h0_h6VenpC_225_71_false_30_1.0.jpg,0.0,0.0,1.0,1.0,31.3808,0.0,1.8034,102.05828,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000000.jpg,val
visual_bmi,vb_2a42h0,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/2a42h0/2a42h0_z6VenpC_216_71_false_30_1.0.jpg,0.0,0.0,1.0,1.0,30.1256,0.0,1.8034,97.97595,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000001.jpg,val
visual_bmi,vb_2xraoq,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/2xraoq/2xraoq_PbDJbcx_213_66_true_2_0.56.jpg,0.0,0.0,1.0,1.0,34.3787,1.0,1.6764,96.61517,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000002.jpg,train
visual_bmi,vb_2xraoq,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/2xraoq/2xraoq_zbDJbcx_213_66_true_2_0.56.jpg,0.0,0.0,1.0,1.0,34.3787,1.0,1.6764,96.61517,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000003.jpg,train
visual_bmi,vb_3xptz5,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/3xptz5/3xptz5_P2YhThW_167_67_false_223_1.0.jpg,0.0,0.0,1.0,1.0,26.1556,0.0,1.7018,75.74993,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000004.jpg,train
visual_bmi,vb_3xptz5,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/3xptz5/3xptz5_P2YhThW_230_67_false_223_1.0.jpg,0.0,0.0,1.0,1.0,36.0227,0.0,1.7018,104.32625,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000005.jpg,train
visual_bmi,vb_1u3m0n,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/1u3m0n/1u3m0n_8kWnagv_170_68_false_7_0.75.jpg,0.0,0.0,1.0,1.0,25.8481,0.0,1.7272,77.1107,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000006.jpg,test
visual_bmi,vb_1u3m0n,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/1u3m0n/1u3m0n_9kWnagv_170_68_false_7_0.75.jpg,0.0,0.0,1.0,1.0,25.8481,0.0,1.7272,77.1107,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000007.jpg,test
visual_bmi,vb_ii7sqk,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/ii7sqk/ii7sqk_oHplg_180_71_false_10_1.3.jpg,0.0,0.0,1.0,1.0,25.1046,0.0,1.8034,81.64663,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000008.jpg,val
visual_bmi,vb_ii7sqk,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/ii7sqk/ii7sqk_oHpjg_180_71_false_10_1.3.jpg,0.0,0.0,1.0,1.0,25.1046,0.0,1.8034,81.64663,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000009.jpg,val
visual_bmi,vb_1tjayb,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/1tjayb/1tjayb_zapS5xs_159_68_true_12_0.75.jpg,0.0,0.0,1.0,1.0,24.1756,1.0,1.7272,72.12119,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000010.jpg,train
visual_bmi,vb_1tjayb,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/1tjayb/1tjayb_tapS5xs_159_68_true_12_0.75.jpg,0.0,0.0,1.0,1.0,24.1756,1.0,1.7272,72.12119,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000011.jpg,train
visual_bmi,vb_1gbort,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/1gbort/1gbort_yKrnA0i_145_67_true_586_1.0.jpg,0.0,0.0,1.0,1.0,22.71,1.0,1.7018,65.77089,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000012.jpg,train
visual_bmi,vb_1gbort,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/1gbort/1gbort_yKrnA0i_180_67_true_586_1.0.jpg,0.0,0.0,1.0,1.0,28.1917,1.0,1.7018,81.64663,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000013.jpg,train
visual_bmi,vb_2fwvwa,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/2fwvwa/2fwvwa_KicIntK_188_73_false_79_1.31.jpg,0.0,0.0,1.0,1.0,24.8034,0.0,1.8542,85.27537,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000014.jpg,train
visual_bmi,vb_2fwvwa,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/2fwvwa/2fwvwa_KicIntK_181_73_false_79_1.31.jpg,0.0,0.0,1.0,1.0,23.8798,0.0,1.8542,82.10022,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000015.jpg,train
visual_bmi,vb_13d1o7,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/13d1o7/13d1o7_xafWd_178_71_false_5_1.34.jpg,0.0,0.0,1.0,1.0,24.8257,0.0,1.8034,80.73944,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000016.jpg,val
visual_bmi,vb_13d1o7,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/13d1o7/13d1o7_HafWd_178_71_false_5_1.34.jpg,0.0,0.0,1.0,1.0,24.8257,0.0,1.8034,80.73944,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000017.jpg,val
visual_bmi,vb_2apebg,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/2apebg/2apebg_OjmSe8a_271_63_true_507_0.67.jpg,0.0,0.0,1.0,1.0,48.005,1.0,1.6002,122.92353,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000018.jpg,test
visual_bmi,vb_2apebg,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/2apebg/2apebg_5aIIZX9_330_63_true_507_0.67.jpg,0.0,0.0,1.0,1.0,58.4563,1.0,1.6002,149.68548,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000019.jpg,test
visual_bmi,vb_25bcg4,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/25bcg4/25bcg4_Bt40ykF_265_74_false_25_1.0.jpg,0.0,0.0,1.0,1.0,34.0236,0.0,1.8796,120.20198,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000020.jpg,val
visual_bmi,vb_25bcg4,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/25bcg4/25bcg4_Bt40ykF_235_74_false_25_1.0.jpg,0.0,0.0,1.0,1.0,30.1719,0.0,1.8796,106.59421,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000021.jpg,val
visual_bmi,vb_19c7xl,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/19c7xl/19c7xl_SW2H7BV_172_70_false_3_0.75.jpg,0.0,0.0,1.0,1.0,24.6792,0.0,1.778,78.01789,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000022.jpg,test
visual_bmi,vb_19c7xl,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/19c7xl/19c7xl_zW2H7BV_172_70_false_3_0.75.jpg,0.0,0.0,1.0,1.0,24.6792,0.0,1.778,78.01789,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000023.jpg,test
visual_bmi,vb_2lr5q8,/Users/a/Library/Mobile Documents/com~apple~CloudDocs/Documents/bmi_predictor/visual_bmi_cropped/body/Visual BMI/bodyface_1to17/2lr5q8/2lr5q8_ThGBmxe_115_65_true_140_1.0.jpg,0.0,0.0,1.0,1.0,19.1368,1.0,1.651,52.16312,,/Users/a/Documents/bmi_predictor/single_pipe/work/cache_260/visual_bmi_000024.jpg,train
